Order_ID,Product,Quantity_Ordered,Price_Each,Order_Date,Purchase_Address
278797.0,Wired Headphones,1.0,11.989999771118164,2021-11-19 09:54:00.0000000,"46 Park St, New York City, NY 10001"
278798.0,USB-C Charging Cable,2.0,11.949999809265137,2017-11-19 10:03:00.0000000,"962 Hickory St, Austin, TX 73301"
278799.0,Apple Airpods Headphones,1.0,150.0,2019-11-19 14:56:00.0000000,"464 Cherry St, Los Angeles, CA 90001"
278800.0,27in FHD Monitor,1.0,149.99000549316406,2025-11-19 22:24:00.0000000,"649 10th St, Seattle, WA 98101"
278801.0,Bose SoundSport Headphones,1.0,99.98999786376953,2009-11-19 13:56:00.0000000,"522 Hill St, Boston, MA 02215"
278802.0,USB-C Charging Cable,1.0,11.949999809265137,2014-11-19 20:34:00.0000000,"154 2nd St, San Francisco, CA 94016"
278803.0,Lightning Charging Cable,1.0,14.949999809265137,2011-11-19 08:05:00.0000000,"724 5th St, San Francisco, CA 94016"
278804.0,Bose SoundSport Headphones,1.0,99.98999786376953,2015-11-19 11:48:00.0000000,"866 Sunset St, Austin, TX 73301"
278805.0,Lightning Charging Cable,1.0,14.949999809265137,2027-11-19 11:50:00.0000000,"670 Elm St, San Francisco, CA 94016"
278806.0,Bose SoundSport Headphones,1.0,99.98999786376953,2019-11-19 19:12:00.0000000,"174 2nd St, Boston, MA 02215"
278806.0,ThinkPad Laptop,1.0,999.989990234375,2019-11-19 19:12:00.0000000,"174 2nd St, Boston, MA 02215"
278807.0,ThinkPad Laptop,1.0,999.989990234375,2025-11-19 21:52:00.0000000,"240 Elm St, Austin, TX 73301"
278808.0,AAA Batteries (4-pack),1.0,2.990000009536743,2023-11-19 13:19:00.0000000,"155 Highland St, Boston, MA 02215"
278809.0,AA Batteries (4-pack),1.0,3.8399999141693115,2017-11-19 12:38:00.0000000,"969 13th St, Dallas, TX 75001"
278810.0,USB-C Charging Cable,1.0,11.949999809265137,2003-11-19 16:55:00.0000000,"454 Cherry St, Boston, MA 02215"
278811.0,Wired Headphones,1.0,11.989999771118164,2006-11-19 16:01:00.0000000,"99 Elm St, San Francisco, CA 94016"
